127.0.0.1 - - [04/Sep/2019:08:43:49 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Sep/2019:08:43:50 +0530] "GET /EMS/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2019:08:43:59 +0530] "GET /EMS/ HTTP/1.1" 200 2109
0:0:0:0:0:0:0:1 - - [04/Sep/2019:08:44:00 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [04/Sep/2019:08:44:02 +0530] "POST /EMS/login.jsp HTTP/1.1" 200 8159
0:0:0:0:0:0:0:1 - - [04/Sep/2019:08:44:02 +0530] "GET /EMS/css/dashboard.css HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [04/Sep/2019:08:44:02 +0530] "GET /EMS/css/myLeaves.css HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [04/Sep/2019:08:44:07 +0530] "GET /EMS/ApplyLeaves.jsp HTTP/1.1" 200 3897
0:0:0:0:0:0:0:1 - - [04/Sep/2019:08:44:46 +0530] "GET /EMS/ApplyLeaves.jsp HTTP/1.1" 200 3889
0:0:0:0:0:0:0:1 - - [04/Sep/2019:08:45:10 +0530] "GET /EMS/ApplyLeaves.jsp HTTP/1.1" 200 3898
0:0:0:0:0:0:0:1 - - [04/Sep/2019:08:46:20 +0530] "GET /EMS/ApplyLeaves.jsp HTTP/1.1" 200 4051
0:0:0:0:0:0:0:1 - - [04/Sep/2019:08:47:59 +0530] "GET /EMS/ApplyLeaves.jsp HTTP/1.1" 200 4201
0:0:0:0:0:0:0:1 - - [04/Sep/2019:08:48:28 +0530] "GET /EMS/ApplyLeaves.jsp HTTP/1.1" 200 4204
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:12:04 +0530] "GET /EMS/ApplyLeaves.jsp HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:14:47 +0530] "GET /EMS/ApplyLeaves.jsp HTTP/1.1" 200 4057
0:0:0:0:0:0:0:1 - - [04/Sep/2019:09:15:06 +0530] "GET /EMS/ApplyLeaves.jsp HTTP/1.1" 200 4059
